;Relação dos municípios com as maiores proporções de população  autodeclarada indígena do País, por situação do domicílio - Unidades da Federação - 2010 ;;;;;;;;;;
;Código;Município;Total;;Código;Município;Urbana;;Código;Município;Rural
Rondônia;;;;;;;;;;;
10;3523305;Itariri;0,6;;3525409;Jeriquara;0,4;;3509908;Cananéia;3,5
;;;;;;;;;;;
Paraná;;;;;;;;;;;
1;4117057;Nova Laranjeiras;19,9;;4108809;Guaíra;1,6;;4114500;Manoel Ribas;26,5
2;4114500;Manoel Ribas;12,9;;4105706;Clevelândia;1,2;;4117057;Nova Laranjeiras;25,1
3;4126678;Tamarana;12,1;;4106456;Coronel Domingos Soares;1,0;;4126678;Tamarana;23,0
4;4107157;Diamante D'Oeste;8,4;;4119251;Pinhal de São Bento;0,7;;4117602;Palmas;19,1
5;4124707;São Jerônimo da Serra;8,2;;4107736;Fernandes Pinheiro;0,6;;4123105;Santa Amélia;17,7
6;4107546;Espigão Alto do Iguaçu;5,8;;4108452;Foz do Jordão;0,6;;4107157;Diamante D'Oeste;17,1
7;4123105;Santa Amélia;4,6;;4117057;Nova Laranjeiras;0,6;;4124707;São Jerônimo da Serra;15,8
8;4127965;Turvo;4,1;;4124707;São Jerônimo da Serra;0,5;;4107546;Espigão Alto do Iguaçu;8,9
9;4104402;Cândido de Abreu;3,7;;4107520;Esperança Nova;0,5;;4105409;Chopinzinho;8,9
10;4105409;Chopinzinho;3,3;;4121356;Rancho Alegre D'Oeste;0,5;;4125704;São Miguel do Iguaçu;6,9
;;;;;;;;;;;
Santa Catarina;;;;;;;;;;;
1;4207684;Ipuaçu;50,5;;4209151;José Boiteux;1,7;;4207684;Ipuaçu;63,4
2;4205175;Entre Rios;20,5;;4200101;Abelardo Luz;1,6;;4205175;Entre Rios;29,0
3;4209151;José Boiteux;18,7;;4205175;Entre Rios;1,4;;4209151;José Boiteux;27,6
4;4219358;Vitor Meireles;8,3;;4202438;Bocaina do Sul;1,2;;4205159;Doutor Pedrinho;12,9
5;4205159;Doutor Pedrinho;6,1;;4200556;Águas Frias;0,9;;4219358;Vitor Meireles;11,3
6;4210209;Major Gercino;2,2;;4202057;Balneário Barra do Sul;0,8;;4204202;Chapecó;7,9
7;4200101;Abelardo Luz;1,9;;4210704;Matos Costa;0,8;;4201307;Araquari;7,3
8;4207205;Imaruí;1,1;;4205159;Doutor Pedrinho;0,7;;4210209;Major Gercino;3,6
9;4201307;Araquari;0,9;;4201307;Araquari;0,5;;4216206;São Francisco do Sul;2,9
10;4217501;Seara;0,8;;4209458;Lajeado Grande;0,5;;4200101;Abelardo Luz;2,3
;;;;;;;;;;;
Rio Grande do Sul;;;;;;;;;;;
1;4305371;Charrua;43,9;;4308854;Gentil;13,6;;4315404;Redentora;55,7
2;4302055;Benjamin Constant do Sul;43,5;;4312138;Mato Castelhano;5,6;;4306924;Engenho Velho;55,7
3;4315404;Redentora;39,5;;4321402;Tenente Portela;5,4;;4305371;Charrua;52,4
4;4319737;São Valério do Sul;39,4;;4316105;Ronda Alta;5,2;;4302055;Benjamin Constant do Sul;50,8
5;4306924;Engenho Velho;34,1;;4312302;Miraguaí;3,9;;4319737;São Valério do Sul;48,9
6;4303202;Cacique Doble;19,1;;4314704;Planalto;2,5;;4321402;Tenente Portela;31,1
7;4321402;Tenente Portela;14,6;;4300661;André da Rocha;2,0;;4303202;Cacique Doble;28,4
8;4309126;Gramado dos Loureiros;13,4;;4305801;Constantina;1,9;;4312708;Nonoai;27,4
9;4312625;Muliterno;11,4;;4305371;Charrua;1,9;;4306973;Erebango;26,3
10;4316105;Ronda Alta;10,1;;4316451;Salto do Jacuí;1,6;;4316105;Ronda Alta;20,0
;;;;;;;;;;;
Mato Grosso do Sul;;;;;;;;;;;
1;5004809;Japorã;49,4;;5000906;Antônio João;8,4;;5006358;Paranhos;71,9
2;5006358;Paranhos;35,7;;5000708;Anastácio;6,3;;5004502;Itaporã;66,8
3;5007950;Tacuru;35,6;;5007901;Sidrolândia;4,3;;5003157;Coronel Sapucaia;66,7
4;5005608;Miranda;25,3;;5001102;Aquidauana;3,9;;5005608;Miranda;61,2
5;5004502;Itaporã;24,4;;5002159;Bodoquena;3,4;;5004809;Japorã;60,3
6;5000609;Amambai;20,8;;5005806;Nioaque;3,3;;5000609;Amambai;57,9
7;5003157;Coronel Sapucaia;18,4;;5001243;Aral Moreira;2,5;;5002407;Caarapó;57,3
8;5003488;Dois Irmãos do Buriti;17,9;;5005608;Miranda;2,2;;5007950;Tacuru;56,0
9;5002407;Caarapó;17,0;;5004304;Iguatemi;1,7;;5001102;Aquidauana;44,5
10;5003504;Douradina;16,1;;5005152;Juti;1,5;;5003504;Douradina;41,2
;;;;;;;;;;;
Mato Grosso;;;;;;;;;;;
1;5102603;Campinápolis;53,3;;5105309;Luciara;11,1;;5102603;Campinápolis;80,0
2;5106174;Nova Nazaré;38,7;;5107859;São Félix do Araguaia;2,2;;5106174;Nova Nazaré;61,3
3;5103858;Gaúcha do Norte;32,2;;5103858;Gaúcha do Norte;2,2;;5101803;Barra do Garças;60,0
4;5103908;General Carneiro;28,4;;5107776;Santa Terezinha;2,2;;5103908;General Carneiro;53,4
